iso	country	year	eq_tr	r_eq_tr	housing_tr	r_housing_tr	dc
AUS	Australia	1950	0.31400	0.20340	1.36314	1.16424	0.03152
AUS	Australia	1951	-0.04600	-0.20394	0.20682	0.00703	-0.01344
AUS	Australia	1952	-0.13300	-0.26039	0.02714	-0.12378	-0.02098
AUS	Australia	1953	0.13000	0.08363	0.02504	-0.01702	-0.04375
AUS	Australia	1954	0.18600	0.17794	0.07019	0.06292	0.05270
AUS	Australia	1955	0.10300	0.08097	0.07081	0.04942	0.06396
AUS	Australia	1956	0.07700	0.01357	0.15163	0.08380	-0.00034
AUS	Australia	1957	0.16700	0.13882	0.14944	0.12168	-0.01536
AUS	Australia	1958	0.18900	0.17357	0.07087	0.05697	0.02790
AUS	Australia	1959	0.44300	0.41692	0.07182	0.05245	0.00822
AUS	Australia	1960	-0.06200	-0.09627	0.18052	0.13739	0.06944
AUS	Australia	1961	0.11600	0.08865	-0.04652	-0.06989	-0.00123
AUS	Australia	1962	0.04200	0.04491	0.15769	0.16093	-0.01557
AUS	Australia	1963	0.26600	0.25932	0.16707	0.16091	0.03506
AUS	Australia	1964	0.04400	0.01992	0.08700	0.06193	0.04023
AUS	Australia	1965	-0.08200	-0.11699	0.08826	0.04678	0.03690
AUS	Australia	1966	0.06700	0.03617	0.08290	0.05161	0.02572
AUS	Australia	1967	0.42500	0.38090	0.08523	0.05164	0.04152
AUS	Australia	1968	0.34800	0.31316	0.11857	0.08966	0.03409
AUS	Australia	1969	0.10100	0.06977	0.13167	0.09957	0.03746
AUS	Australia	1970	-0.13700	-0.16944	0.15090	0.10764	0.02156
AUS	Australia	1971	-0.06100	-0.11469	0.17449	0.10734	0.00360
AUS	Australia	1972	0.36400	0.28843	0.14717	0.08361	0.03027
AUS	Australia	1973	-0.25800	-0.32216	0.24786	0.13996	0.04282
AUS	Australia	1974	-0.26200	-0.35887	0.24937	0.08537	0.01376
AUS	Australia	1975	0.54600	0.34351	0.16637	0.01360	-0.00010
AUS	Australia	1976	0.03600	-0.08742	0.17694	0.03673	0.03441
AUS	Australia	1977	0.13200	0.00801	0.14364	0.01837	0.00923
AUS	Australia	1978	0.24300	0.15174	0.10838	0.02700	0.00955
AUS	Australia	1979	0.39000	0.27418	0.12429	0.03061	0.01079
AUS	Australia	1980	0.52300	0.38295	0.23567	0.12204	0.02408
AUS	Australia	1981	-0.10800	-0.18681	0.20258	0.09633	0.03256
AUS	Australia	1982	-0.15300	-0.23794	0.11573	0.00384	0.00128
AUS	Australia	1983	0.63700	0.48665	0.10249	0.00123	0.00374
AUS	Australia	1984	0.00500	-0.03319	0.18509	0.14005	0.00780
AUS	Australia	1985	0.42100	0.33128	0.14987	0.07727	0.03268
AUS	Australia	1986	0.51100	0.38516	0.13456	0.04007	-0.00498
AUS	Australia	1987	-0.09600	-0.16673	0.10648	0.01990	0.01868
AUS	Australia	1988	0.21100	0.12933	0.28200	0.19554	0.02832
AUS	Australia	1989	0.17900	0.09614	0.29427	0.20331	0.03451
AUS	Australia	1990	-0.15300	-0.21042	0.06589	-0.00637	-0.00687
AUS	Australia	1991	0.27500	0.23519	0.05485	0.02191	0.00584
AUS	Australia	1992	-0.02200	-0.03155	0.07063	0.06018	0.00373
AUS	Australia	1993	0.40456	0.37955	0.07174	0.05265	0.01281
AUS	Australia	1994	-0.08810	-0.10506	0.07832	0.05827	0.03996
AUS	Australia	1995	0.20723	0.15372	0.06261	0.01551	0.02374
AUS	Australia	1996	0.14342	0.11431	0.05805	0.03111	0.01277
AUS	Australia	1997	0.11419	0.11169	0.07185	0.06945	0.03553
AUS	Australia	1998	0.08479	0.07555	0.13950	0.12979	0.03721
AUS	Australia	1999	0.19295	0.17639	0.10247	0.08716	0.02912
AUS	Australia	2000	0.05023	0.00541	0.13605	0.08758	0.02422
AUS	Australia	2001	0.10135	0.05486	0.11730	0.07013	0.01560
AUS	Australia	2002	-0.08096	-0.10815	0.23695	0.20036	0.02422
AUS	Australia	2003	0.15864	0.12784	0.20934	0.17720	0.04232
AUS	Australia	2004	0.27568	0.24649	0.08885	0.06393	0.03119
AUS	Australia	2005	0.21088	0.17951	0.03706	0.01019	0.01792
AUS	Australia	2006	0.24966	0.20676	0.10147	0.06366	0.02099
AUS	Australia	2007	0.17953	0.15238	0.13594	0.10979	0.00367
AUS	Australia	2008	-0.40385	-0.42869	0.06564	0.02123	0.00251
AUS	Australia	2009	0.39578	0.37150	0.05680	0.03842	0.00590
AUS	Australia	2010	0.03306	0.00431	0.14347	0.11164	0.00695
AUS	Australia	2011	-0.11431	-0.14307	-0.00476	-0.03708	0.02518
AUS	Australia	2012	0.18841	0.16870	0.01437	-0.00246	0.01184
AUS	Australia	2013	0.19656	0.16765	0.08900	0.06270	0.00033
AUS	Australia	2014	0.05610	0.03046	0.11234	0.08534	0.00918
AUS	Australia	2015	0.02561	0.01060	0.11045	0.09421	0.00880
DNK	Denmark	1950	0.25552	0.18283	0.10102	0.03728	0.06736
DNK	Denmark	1951	-0.02810	-0.12066	0.18578	0.07285	-0.00116
DNK	Denmark	1952	-0.01107	-0.04736	0.11382	0.07294	-0.01992
DNK	Denmark	1953	0.09310	0.08316	0.11518	0.10504	0.01667
DNK	Denmark	1954	0.15272	0.15272	0.12929	0.12929	0.04083
DNK	Denmark	1955	0.16087	0.10082	0.12299	0.06491	-0.00448
DNK	Denmark	1956	0.16993	0.10335	0.12724	0.06309	0.00627
DNK	Denmark	1957	0.10950	0.07987	0.16111	0.13010	0.01440
DNK	Denmark	1958	0.06575	0.05802	0.11835	0.11023	0.01658
DNK	Denmark	1959	0.30213	0.28001	0.15693	0.13729	0.02773
DNK	Denmark	1960	0.16120	0.14681	0.21933	0.20422	0.05485
DNK	Denmark	1961	0.04480	0.00994	0.35124	0.30615	0.05068
DNK	Denmark	1962	0.06030	-0.01256	0.17560	0.09483	0.01913
DNK	Denmark	1963	-0.00293	-0.06030	0.13886	0.07333	0.01968
DNK	Denmark	1964	0.24082	0.20359	0.19646	0.16056	0.04417
DNK	Denmark	1965	0.07117	0.01580	0.11439	0.05680	0.01556
DNK	Denmark	1966	0.09230	0.02023	0.19392	0.11514	0.02122
DNK	Denmark	1967	-0.14916	-0.21370	0.10889	0.02478	0.02373
DNK	Denmark	1968	0.08233	0.00259	0.08638	0.00634	0.01595
DNK	Denmark	1969	0.19813	0.15775	0.10740	0.07008	0.05144
DNK	Denmark	1970	-0.05179	-0.10979	0.21761	0.14314	0.02259
DNK	Denmark	1971	-0.01185	-0.06664	0.12129	0.05912	-0.00150
DNK	Denmark	1972	0.48656	0.39502	0.22627	0.15075	-0.00648
DNK	Denmark	1973	0.62432	0.48607	0.20423	0.10173	0.05010
DNK	Denmark	1974	-0.22610	-0.32865	0.09531	-0.04983	-0.03406
DNK	Denmark	1975	0.16445	0.06240	0.22929	0.12156	0.02714
DNK	Denmark	1976	0.35681	0.24478	0.13739	0.04348	0.06295
DNK	Denmark	1977	0.07841	-0.02968	0.17652	0.05860	0.00826
DNK	Denmark	1978	-0.00093	-0.09183	0.20147	0.09216	0.00672
DNK	Denmark	1979	0.02037	-0.06910	0.13808	0.03829	-0.00147
DNK	Denmark	1980	-0.01512	-0.12303	0.02287	-0.08920	-0.03659
DNK	Denmark	1981	0.77524	0.58866	-0.00566	-0.11016	-0.02678
DNK	Denmark	1982	0.34868	0.22472	0.02583	-0.06845	0.01980
DNK	Denmark	1983	0.81643	0.69906	0.26950	0.18747	0.01335
DNK	Denmark	1984	0.09640	0.03151	0.20299	0.13180	0.03155
DNK	Denmark	1985	0.06629	0.01863	0.21542	0.16110	0.03887
DNK	Denmark	1986	0.02780	-0.00867	0.15733	0.11628	0.06313
DNK	Denmark	1987	-0.13870	-0.17177	-0.03567	-0.07270	-0.02460
DNK	Denmark	1988	0.15420	0.10384	0.05575	0.00968	-0.02116
DNK	Denmark	1989	0.41858	0.35396	0.03913	-0.00821	-0.00266
DNK	Denmark	1990	0.11323	0.08458	-0.02597	-0.05104	0.00253
DNK	Denmark	1991	0.09394	0.06835	0.06817	0.04318	0.00920
DNK	Denmark	1992	-0.06935	-0.08846	0.04004	0.01869	0.01876
DNK	Denmark	1993	0.03356	0.02072	0.04931	0.03627	-0.02090
DNK	Denmark	1994	0.20573	0.18218	0.18370	0.16058	0.05276
DNK	Denmark	1995	0.01202	-0.00863	0.13138	0.10828	0.00748
DNK	Denmark	1996	0.31960	0.29215	0.15930	0.13518	0.01095
DNK	Denmark	1997	0.43762	0.40971	0.16401	0.14141	0.02257
DNK	Denmark	1998	-0.03903	-0.05149	0.13434	0.11964	0.01589
